danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.742,0.727,-8.362,0.0534,0.33,0.88,0.101,0.822,127.995,244262
0.697,0.815,-4.124,0.0579,0.00142,0.756,0.0212,0.437,134.992,258653
0.742,0.855,-8.344,0.0611,0.0317,0.81,0.119,0.0455,138.008,420684
0.751,0.834,-7.018,0.0713,0.0749,0.000505,0.149,0.563,133.972,175246
0.446,0.692,-9.617,0.148,0.00337,0.884,0.295,0.14,85.803,471377
0.599,0.814,-9.001,0.0661,0.277,0.535,0.272,0.375,151.207,192454
0.789,0.828,-6.497,0.0636,0.115,0.693,0.0872,0.589,120.028,196615
0.75,0.821,-6.504,0.0437,0.136,0.0503,0.325,0.654,130.015,159562
0.626,0.9,-9.387,0.0431,7.28e-05,0.76,0.104,0.682,136.988,199876
0.672,0.818,-6.272,0.0813,0.0374,0.924,0.139,0.264,118.961,205993
0.496,0.873,-7.547,0.0362,0.00335,0.896,0.099,0.0458,130.0,293489
0.546,0.87,-6.795,0.0384,0.00362,0.659,0.0527,0.036,129.998,373167
0.75,0.828,-8.785,0.059,0.00239,0.798,0.347,0.621,138.01,229565
0.596,0.781,-8.436,0.0353,0.0625,0.737,0.086,0.306,134.0,230644
0.694,0.986,-9.88,0.054,0.122,0.917,0.116,0.58,134.0,403172
0.555,0.931,-6.768,0.0486,0.113,0.934,0.104,0.508,133.983,247873
0.689,0.609,-9.889,0.0382,0.295,0.0455,0.117,0.103,128.024,108646
0.584,0.613,-13.823,0.0418,0.113,0.855,0.108,0.0511,118.883,251188
0.588,0.414,-10.811,0.0303,0.058,0.909,0.16,0.295,130.07,181120
0.645,0.642,-8.577,0.0383,0.0029,0.00955,0.095,0.256,130.002,200493
0.778,0.559,-9.474,0.0467,0.00098,0.904,0.0825,0.35,140.01,240724
0.705,0.88,-8.887,0.0631,0.00481,0.862,0.0512,0.581,127.982,245208
